"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ELL2P1",-1.90210159373283,1.57444149787761,-11.4353140290032,4.45566844034775e-27,8.98545603065921e-26,50.5845100368456
"HLF",-2.74008180154051,5.98754152642647,-11.4349539176868,4.47036502596681e-27,9.00648327199082e-26,50.5812495341217
"GIMAP7",-2.4864610613494,7.13190100284034,-11.4211576120924,5.07122896767633e-27,1.02072999851302e-25,50.4563809887094
"LIMS2",-2.56914574199374,8.95998047288458,-11.416452034357,5.29401681761631e-27,1.06455663251476e-25,50.4138116380596
"C14orf132",-2.88278207534505,7.01606440694926,-11.4152361689592,5.35314795560395e-27,1.07542193310009e-25,50.4028138965365
"FEZF1-AS1",5.29494045460016,5.17337383096122,11.4135109457946,5.43817954331726e-27,1.09146488379386e-25,50.3872100934133
"SH3TC2",2.60248429493504,7.97610329571797,11.4128404073624,5.47158988014947e-27,1.09712658680488e-25,50.3811457734302
"NAT1",-2.07234140129103,8.30590483943578,-11.4108057025463,5.57422597825132e-27,1.11664504069547e-25,50.3627452729052
"IGKV1D-27",-3.53541118580282,2.22036029402899,-11.4090674227452,5.66342463022406e-27,1.13343718358583e-25,50.3470269661108
"GHR",-3.26256012432177,5.96331184363342,-11.4021933496466,6.03028601912809e-27,1.2057142491705e-25,50.2848822858103
"CFL2",-2.52183101686045,8.29085735219638,-11.4015841917936,6.06391410038486e-27,1.21128981092347e-25,50.2793762889059
"EPB41L4A-DT",-2.30478391236794,3.22452541439269,-11.4003449357201,6.1329029520009e-27,1.22391158816941e-25,50.2681755548051
"OTUD7A",-2.49952516071822,5.71551565801036,-11.4000506031016,6.14940269693025e-27,1.22604442806282e-25,50.2655154015238
"NECAB1",-3.11144267151042,4.01476476867565,-11.399639852772,6.17250241880899e-27,1.22948787556522e-25,50.2618031422885
"SH3GL2",-3.25893027103062,2.36546732275677,-11.3986082277703,6.23090004240027e-27,1.23994910843765e-25,50.2524799189432
"ABHD5",-1.70519226945803,8.75566758651278,-11.3968801929877,6.32995314634731e-27,1.25847343703158e-25,50.236864062394
"IGHV3-72",-4.76857896202246,6.22452753505266,-11.3961393645707,6.37289646155932e-27,1.26581805988825e-25,50.2301697910028
"ACSF2",-2.12159373403655,10.0148603041868,-11.3921316323266,6.61028393359641e-27,1.31173404793304e-25,50.1939595694955
"SLC9A1",-2.00721583747842,11.1139482427302,-11.3918763988312,6.62569644018465e-27,1.31355677358322e-25,50.1916537655633
"PLN",-3.92786394484091,6.86589375219042,-11.3909980132465,6.67901218794148e-27,1.32288340931866e-25,50.1837185779551
"STAB1",-2.30915082425141,10.2795886426023,-11.3875207728062,6.89429203841476e-27,1.36424199116624e-25,50.1523093053392
"SH2D1B",-2.53613639056233,3.39039463061493,-11.3854088921855,7.02839462896463e-27,1.38947475448341e-25,50.1332358304363
"MARVELD3",-1.74780112203555,10.3123974184797,-11.3852111792729,7.04108124141724e-27,1.39067947290688e-25,50.1314502904836
"CD79A",-3.71278094184403,7.33702915049068,-11.3826239669062,7.20920840475526e-27,1.42255418231906e-25,50.1080869275838
"KCNIP1",-2.35294742365832,1.62251579181919,-11.3707674049714,8.03221885111748e-27,1.58347312565862e-25,50.0010583457975
"ZNF385B",-3.12763077728297,2.94441253819025,-11.3679630528097,8.24016089014993e-27,1.62295008232327e-25,49.9757532119922
"IGKV1D-16",-4.30096689034242,4.18647940541337,-11.366073520355,8.38327918965699e-27,1.64959786592001e-25,49.9587050488005
"IGKV6-21",-4.31102711939551,4.43492465626095,-11.361850557779,8.71213582530546e-27,1.71271009411923e-25,49.9206097300708
"PEX11A",-1.8691414744233,8.73063658452175,-11.3617071135628,8.72352878797247e-27,1.713353037742e-25,49.9193158673163
"KLHL34",-3.96077518212586,3.0515890854114,-11.3587584714247,8.96103302193026e-27,1.75836307501951e-25,49.8927213339615
"PRDX6-AS1",-2.22362169906184,4.0069605944761,-11.3583830079056,8.99173335902093e-27,1.7627474300668e-25,49.8893352278352
"MEIS3P2",-2.36914294372615,2.52964248943669,-11.3431423465932,1.03302751866525e-26,2.02327599616758e-25,49.7519435801373
"PRRG3",-2.42849196799097,3.527885337595,-11.342707002011,1.03712894164798e-26,2.02902636306716e-25,49.7480206326911
"IL5RA",-2.72479572460648,2.44234552890402,-11.3426266950609,1.03788728820966e-26,2.02902636306716e-25,49.7472969858922
"NKD2",3.1540759115058,8.72682931339113,11.3403701071005,1.05942338662451e-26,2.0692108256905e-25,49.726964085225
"MB",-3.50809079404058,5.96269085572711,-11.3397175454393,1.06573363378941e-26,2.07961010833986e-25,49.7210846487093
"CCL13",-3.98404471060635,5.20674791631554,-11.3386326683982,1.07630717763104e-26,2.09830162707478e-25,49.7113105886733
"IGHV2-5",-4.70334457266774,4.47278702908948,-11.3310069077838,1.15363245636118e-26,2.24697350272233e-25,49.6426228848062
"ATP6V0D2",-2.84112375306955,4.94791184941801,-11.3276547234609,1.18934828107453e-26,2.31440153514633e-25,49.6124373210449
"RAET1L",3.27002400497185,4.54874366527339,11.3267287283905,1.19940665962688e-26,2.33182341734281e-25,49.6040999035595
"CTXND1",-3.39371126161006,2.80338428337818,-11.3256797880125,1.21090271004746e-26,2.35200568745314e-25,49.5946560059648
