,Characteristics,Hazard.Ratio,lower.95,upper.95,CI95.,P.Value
6282,L3MBTL4.AS1,1.125,0.954,1.326,1.125[0.954:1.326],0.162
6283,ERICH2,1.015,0.907,1.137,1.015[0.907:1.137],0.791
6284,ALOX5AP,1.037,0.89,1.209,1.037[0.89:1.209],0.64
6285,PLA2G12B,0.994,0.934,1.058,0.994[0.934:1.058],0.852
6286,RGS1,1.057,0.933,1.199,1.057[0.933:1.199],0.384
6287,LCN12,1.133,0.994,1.292,1.133[0.994:1.292],0.061
6288,IGSF1,1.049,0.956,1.151,1.049[0.956:1.151],0.311
6289,CRIP1,1.146,0.992,1.325,1.146[0.992:1.325],0.065
6290,RTN4RL1,1.051,0.97,1.14,1.051[0.97:1.14],0.225
6291,VSTM5,0.999,0.885,1.128,0.999[0.885:1.128],0.985
6292,KLHL5,1.025,0.877,1.196,1.025[0.877:1.196],0.759
6293,NRK,1.099,1,1.208,1.099[1:1.208],0.05
6294,RASSF10,0.965,0.875,1.064,0.965[0.875:1.064],0.469
6295,LGR5,1.009,0.912,1.115,1.009[0.912:1.115],0.868
6296,GABRE,1.154,1.003,1.328,1.154[1.003:1.328],0.046
6297,MRAS,1.131,0.974,1.313,1.131[0.974:1.313],0.107
6298,EDA2R,1.041,0.928,1.169,1.041[0.928:1.169],0.492
6299,RTL8A,1.137,0.987,1.308,1.137[0.987:1.308],0.075
6300,AFP,0.965,0.853,1.091,0.965[0.853:1.091],0.568
6301,RGPD2,1.047,0.917,1.195,1.047[0.917:1.195],0.499
6302,H1.0,1.082,0.921,1.271,1.082[0.921:1.271],0.338
6303,KCNH8,1.055,0.934,1.191,1.055[0.934:1.191],0.388
6304,RIMBP2,1.03,0.937,1.133,1.03[0.937:1.133],0.537
6305,HSPA7,1.149,1.012,1.305,1.149[1.012:1.305],0.032
6306,MTCO1P53,0.975,0.867,1.097,0.975[0.867:1.097],0.679
6307,MCTP1,1.014,0.886,1.159,1.014[0.886:1.159],0.844
6308,C1QTNF4,1.315,1.104,1.568,1.315[1.104:1.568],0.002
6309,MIR9.1HG,1.144,1.007,1.3,1.144[1.007:1.3],0.038
6310,SNORA33,1.079,0.917,1.27,1.079[0.917:1.27],0.361
6311,C9orf50,1.102,0.941,1.29,1.102[0.941:1.29],0.229
6312,SHISA6,1.025,0.955,1.1,1.025[0.955:1.1],0.493
6313,YBX2,1.085,0.926,1.271,1.085[0.926:1.271],0.315
6314,AFTPH,1.047,0.885,1.238,1.047[0.885:1.238],0.592
6315,PCDHAC2,1.002,0.894,1.124,1.002[0.894:1.124],0.968
6316,ADARB2,0.956,0.844,1.083,0.956[0.844:1.083],0.48
6317,KCNJ6,1.058,0.912,1.229,1.058[0.912:1.229],0.457
6318,DOK7,1.04,0.916,1.181,1.04[0.916:1.181],0.545
6319,CYB5D1,1.097,0.925,1.301,1.097[0.925:1.301],0.289
6320,AFTPH.DT,1.036,0.893,1.202,1.036[0.893:1.202],0.639
6321,MATN3,1.091,0.97,1.227,1.091[0.97:1.227],0.148
6322,FCER1G,1.049,0.907,1.213,1.049[0.907:1.213],0.52
6323,IZUMO1,1.226,1.065,1.41,1.226[1.065:1.41],0.004
6324,SLC13A3,1.028,0.95,1.114,1.028[0.95:1.114],0.491
6325,IDO2,0.893,0.756,1.055,0.893[0.756:1.055],0.182
6326,LINC02028,1.014,0.877,1.172,1.014[0.877:1.172],0.849
6327,ZNF615,1.062,0.911,1.238,1.062[0.911:1.238],0.443
6328,RPL10P6,1.005,0.909,1.11,1.005[0.909:1.11],0.926
6329,OGFRL1,1.05,0.907,1.216,1.05[0.907:1.216],0.514
6330,WNK3,1.048,0.89,1.234,1.048[0.89:1.234],0.574
6331,OTOGL,1.089,0.966,1.229,1.089[0.966:1.229],0.164
6332,HOXB8,1.034,0.931,1.15,1.034[0.931:1.15],0.53
6333,CARMIL2,1.15,0.996,1.329,1.15[0.996:1.329],0.057
6334,TMPRSS5,0.996,0.897,1.105,0.996[0.897:1.105],0.936
6335,RPL18P13,0.996,0.894,1.11,0.996[0.894:1.11],0.949
6336,WASIR2,1.168,1.036,1.316,1.168[1.036:1.316],0.011
6337,GDA,1.071,0.928,1.236,1.071[0.928:1.236],0.346
6338,NAIPP2,1.067,0.914,1.244,1.067[0.914:1.244],0.412
6339,ARHGEF34P,1.118,0.968,1.292,1.118[0.968:1.292],0.128
6340,SLFN12,1.014,0.885,1.163,1.014[0.885:1.163],0.84
6341,ZNF155,1.101,0.926,1.309,1.101[0.926:1.309],0.277
6342,GLT8D2,1.025,0.883,1.19,1.025[0.883:1.19],0.743
6343,RUNX3,1.175,1.023,1.349,1.175[1.023:1.349],0.023
6344,ZNF682,1.063,0.956,1.183,1.063[0.956:1.183],0.26
6345,SH3BP5.AS1,1.082,0.925,1.265,1.082[0.925:1.265],0.324
6346,SLC14A1,1.025,0.945,1.113,1.025[0.945:1.113],0.552
6347,AMACR,0.951,0.814,1.111,0.951[0.814:1.111],0.524
6348,ACER2,1.11,0.946,1.304,1.11[0.946:1.304],0.202
6349,RHPN1.AS1,1.044,0.904,1.205,1.044[0.904:1.205],0.56
6350,SEMA5A,0.984,0.863,1.122,0.984[0.863:1.122],0.808
6351,TRBV6.6,0.996,0.849,1.168,0.996[0.849:1.168],0.962
6352,NIN,1.144,0.963,1.358,1.144[0.963:1.358],0.126
6353,CD68,1.086,0.968,1.219,1.086[0.968:1.219],0.16
6354,MCF2L2P1,1.192,1.01,1.407,1.192[1.01:1.407],0.038
6355,WNK2,1.118,0.943,1.324,1.118[0.943:1.324],0.199
6356,LINC01936,1.075,0.912,1.267,1.075[0.912:1.267],0.391
6357,NACA2,0.943,0.811,1.096,0.943[0.811:1.096],0.442
6358,RNF212,1.05,0.932,1.183,1.05[0.932:1.183],0.42
6359,ZNF773,1.091,0.947,1.257,1.091[0.947:1.257],0.227
6360,CD44.AS1,1.134,0.991,1.298,1.134[0.991:1.298],0.068
6361,TLCD4.RWDD3,1.055,0.902,1.234,1.055[0.902:1.234],0.501
6362,CHST10,1.079,0.933,1.247,1.079[0.933:1.247],0.305
6363,METTL15P1,1.03,0.916,1.159,1.03[0.916:1.159],0.618
6364,EVPL,1.046,0.89,1.228,1.046[0.89:1.228],0.588
6365,OVOL1.AS1,1.115,0.959,1.296,1.115[0.959:1.296],0.156
6366,NRXN3,1.09,0.992,1.197,1.09[0.992:1.197],0.072
6367,ANKRD24,1.347,1.152,1.575,1.347[1.152:1.575],1.848676e-04
6368,CCDC180,1.067,0.932,1.221,1.067[0.932:1.221],0.349
6369,PNLIPRP1,1.016,0.897,1.151,1.016[0.897:1.151],0.804
6370,DMRTA2,1.04,0.969,1.117,1.04[0.969:1.117],0.279
6371,NIPSNAP3B,1.064,0.926,1.223,1.064[0.926:1.223],0.379
6372,LINC01415,0.968,0.819,1.144,0.968[0.819:1.144],0.7
6373,CSF3,1.014,0.918,1.122,1.014[0.918:1.122],0.779
6374,NME5,0.99,0.896,1.095,0.99[0.896:1.095],0.85
6375,KCNK9,1.09,0.985,1.207,1.09[0.985:1.207],0.095
6376,TDRD9,1.087,0.959,1.232,1.087[0.959:1.232],0.192
6377,BAHCC1,1.032,0.893,1.193,1.032[0.893:1.193],0.671
6378,HNRNPA1P59,1.021,0.87,1.197,1.021[0.87:1.197],0.802
6379,LSAMP,0.917,0.808,1.041,0.917[0.808:1.041],0.18
6380,LINC02614,1.046,0.898,1.218,1.046[0.898:1.218],0.562
6381,DNAH7,0.974,0.838,1.133,0.974[0.838:1.133],0.734
6382,SNORD15B,0.972,0.836,1.13,0.972[0.836:1.13],0.715
6383,RPS3AP46,1.023,0.885,1.182,1.023[0.885:1.182],0.762
6384,LINC01224,1.038,0.901,1.196,1.038[0.901:1.196],0.602
6385,NUS1P1,1.04,0.929,1.165,1.04[0.929:1.165],0.495
6386,SSTR5,0.974,0.893,1.062,0.974[0.893:1.062],0.548
6387,CCDC187,1.138,1.018,1.273,1.138[1.018:1.273],0.023
6388,ZMAT1,1.101,0.996,1.217,1.101[0.996:1.217],0.06
6389,GGT1,1.011,0.895,1.142,1.011[0.895:1.142],0.86
6390,LAIR2,0.971,0.867,1.087,0.971[0.867:1.087],0.611
6391,RDH16,1.127,0.974,1.305,1.127[0.974:1.305],0.109
6392,JAKMIP1,0.947,0.826,1.085,0.947[0.826:1.085],0.432
6393,WNT10B,1.222,1.081,1.382,1.222[1.081:1.382],0.001
6394,H2AC8,1.168,1.025,1.33,1.168[1.025:1.33],0.019
6395,COX7CP2,1.008,0.866,1.173,1.008[0.866:1.173],0.918
6396,TNNT2,1.174,1.043,1.322,1.174[1.043:1.322],0.008
6397,LINC01833,1.048,0.973,1.128,1.048[0.973:1.128],0.219
6398,HAP1,1.113,0.972,1.274,1.113[0.972:1.274],0.122
6399,LINC01079,1.091,0.937,1.272,1.091[0.937:1.272],0.262
6400,CPLANE1,1.037,0.9,1.194,1.037[0.9:1.194],0.616
6401,FXYD4,1.037,0.923,1.164,1.037[0.923:1.164],0.541
6402,C2CD6,0.969,0.834,1.126,0.969[0.834:1.126],0.677
6403,RNU6.850P,1.153,0.987,1.348,1.153[0.987:1.348],0.072
6404,NPTN.IT1,1.086,0.947,1.244,1.086[0.947:1.244],0.237
6405,DSE,1.095,0.943,1.271,1.095[0.943:1.271],0.234
6406,ADAMTS4,1.142,0.993,1.315,1.142[0.993:1.315],0.063
6407,MTATP8P1,1.083,0.965,1.215,1.083[0.965:1.215],0.177
6408,TNN,1.113,0.967,1.282,1.113[0.967:1.282],0.136
6409,PKD2,1.1,0.936,1.292,1.1[0.936:1.292],0.247
6410,NRIR,1.178,1.014,1.367,1.178[1.014:1.367],0.032
6411,KCND2,1.095,0.988,1.214,1.095[0.988:1.214],0.084
6412,MELTF,1.15,0.983,1.346,1.15[0.983:1.346],0.081
6413,F10,1.024,0.914,1.147,1.024[0.914:1.147],0.678
6414,C1QL3,0.966,0.865,1.078,0.966[0.865:1.078],0.533
6415,CDX2,1.005,0.865,1.167,1.005[0.865:1.167],0.947
6416,AHSG,1.003,0.9,1.118,1.003[0.9:1.118],0.954
6417,RPS4XP7,1.084,0.955,1.231,1.084[0.955:1.231],0.21
6418,CAMKV,1.001,0.915,1.096,1.001[0.915:1.096],0.974
6419,ECHDC3,1.015,0.937,1.099,1.015[0.937:1.099],0.718
6420,MAST4.AS1,1.063,0.916,1.234,1.063[0.916:1.234],0.418
6421,PARD6G.AS1,1.103,0.952,1.277,1.103[0.952:1.277],0.193
6422,NT5DC4,1.057,0.928,1.204,1.057[0.928:1.204],0.401
6423,LINC01088,1.126,1.008,1.259,1.126[1.008:1.259],0.036
6424,EDA,0.981,0.89,1.081,0.981[0.89:1.081],0.699
6425,RAD51AP2,1.063,0.921,1.227,1.063[0.921:1.227],0.402
6426,N4BP2L1,1.062,0.911,1.237,1.062[0.911:1.237],0.442
6427,ATP6V0A4,1.135,1.025,1.258,1.135[1.025:1.258],0.015
6428,MED28P3,1.004,0.859,1.174,1.004[0.859:1.174],0.956
6429,CSF2RA,1.081,0.935,1.25,1.081[0.935:1.25],0.293
6430,TSPEAR.AS2,1.209,1.09,1.341,1.209[1.09:1.341],3.212585e-04
6431,FER,1.041,0.89,1.219,1.041[0.89:1.219],0.615
6432,FOSB,1.028,0.934,1.131,1.028[0.934:1.131],0.577
6433,CHST4,1.015,0.95,1.085,1.015[0.95:1.085],0.649
6434,SLC2A10,1.029,0.895,1.184,1.029[0.895:1.184],0.688
6435,ISL1.DT,1.092,0.981,1.215,1.092[0.981:1.215],0.106
6436,CREB3L1,1.06,0.936,1.201,1.06[0.936:1.201],0.359
6437,DNAH10OS,1.114,0.955,1.3,1.114[0.955:1.3],0.17
6438,SLC9A4,1.029,0.904,1.171,1.029[0.904:1.171],0.669
6439,MINDY2,1.16,0.986,1.366,1.16[0.986:1.366],0.074
6440,SLC12A5.AS1,1.086,0.934,1.263,1.086[0.934:1.263],0.281
6441,OR7E47P,0.945,0.827,1.081,0.945[0.827:1.081],0.411
6442,CACNA1G,1.037,0.896,1.2,1.037[0.896:1.2],0.628
6443,TRAV2,0.942,0.805,1.102,0.942[0.805:1.102],0.455
6444,GLIPR1L2,1.012,0.882,1.161,1.012[0.882:1.161],0.865
6445,SCT,1.143,1.019,1.283,1.143[1.019:1.283],0.023
6446,EMB,0.985,0.893,1.086,0.985[0.893:1.086],0.764
6447,TRPM3,1.097,0.987,1.22,1.097[0.987:1.22],0.087
6448,HYCC1,1.149,1.001,1.318,1.149[1.001:1.318],0.048
6449,MRAP2,0.952,0.843,1.074,0.952[0.843:1.074],0.424
6450,BEST3,0.998,0.9,1.107,0.998[0.9:1.107],0.975
6451,PDGFRL,1.021,0.903,1.155,1.021[0.903:1.155],0.735
6452,EVX1,1.014,0.935,1.101,1.014[0.935:1.101],0.731
6453,EPM2AIP1,1.071,0.93,1.233,1.071[0.93:1.233],0.343
6454,SYT8,1.24,1.092,1.408,1.24[1.092:1.408],9.323028e-04
6455,FGF1,1.05,0.917,1.201,1.05[0.917:1.201],0.481
6456,PRTG,1.091,0.974,1.222,1.091[0.974:1.222],0.131
6457,GUCY1B1,1.086,0.928,1.271,1.086[0.928:1.271],0.305
6458,SMC5,1.03,0.877,1.209,1.03[0.877:1.209],0.718
6459,CXCL14,0.929,0.859,1.005,0.929[0.859:1.005],0.068
6460,HILPDA.AS1,1.066,0.911,1.248,1.066[0.911:1.248],0.423
6461,SEPSECS.AS1,1.022,0.871,1.199,1.022[0.871:1.199],0.786
6462,OXCT1,0.941,0.818,1.083,0.941[0.818:1.083],0.396
6463,DSCAM,1.105,0.949,1.285,1.105[0.949:1.285],0.197
6464,CCR6,0.934,0.813,1.074,0.934[0.813:1.074],0.34
6465,PKMP1,0.999,0.867,1.152,0.999[0.867:1.152],0.99
6466,RNF224,1.257,1.095,1.444,1.257[1.095:1.444],0.001
6467,MOGAT3,0.978,0.869,1.1,0.978[0.869:1.1],0.71
6468,SLC25A6P2,0.975,0.873,1.089,0.975[0.873:1.089],0.655
6469,PLAGL1,0.973,0.848,1.116,0.973[0.848:1.116],0.695
6470,ITGA9,1.111,0.966,1.279,1.111[0.966:1.279],0.14
6471,ARMCX4,1.063,0.932,1.214,1.063[0.932:1.214],0.361
6472,RPL36P3,0.983,0.861,1.123,0.983[0.861:1.123],0.802
6473,SULT1C4,1.016,0.915,1.127,1.016[0.915:1.127],0.769
6474,MT.TF,0.987,0.872,1.117,0.987[0.872:1.117],0.836
6475,AIDAP2,1.065,0.925,1.227,1.065[0.925:1.227],0.378
6476,DNM3OS,1.036,0.902,1.19,1.036[0.902:1.19],0.619
6477,SOX8,0.99,0.902,1.085,0.99[0.902:1.085],0.824
6478,HLA.DQB2,1.022,0.913,1.144,1.022[0.913:1.144],0.703
6479,GRK1,1.031,0.928,1.145,1.031[0.928:1.145],0.571
6480,RPL11P3,0.955,0.843,1.083,0.955[0.843:1.083],0.475
6481,ABCC9,1.118,0.988,1.265,1.118[0.988:1.265],0.077
6482,ELAPOR1,0.986,0.884,1.101,0.986[0.884:1.101],0.803
6483,ZNF737,1.06,0.948,1.186,1.06[0.948:1.186],0.305
6484,GJB5,1.011,0.941,1.086,1.011[0.941:1.086],0.77
6485,DOCK8.AS1,1.108,0.967,1.271,1.108[0.967:1.271],0.141
6486,BEGAIN,1.057,0.906,1.233,1.057[0.906:1.233],0.481
6487,LINC01273,1.053,0.914,1.213,1.053[0.914:1.213],0.475
6488,PLA2G2A,0.97,0.908,1.037,0.97[0.908:1.037],0.375
6489,HRH2,1.011,0.899,1.138,1.011[0.899:1.138],0.851
6490,NKAIN1,1.04,0.902,1.2,1.04[0.902:1.2],0.59
6491,FAT3,1.022,0.899,1.162,1.022[0.899:1.162],0.741
6492,TMEM225B,1.022,0.882,1.184,1.022[0.882:1.184],0.775
6493,AVPR1A,1.08,0.964,1.21,1.08[0.964:1.21],0.184
6494,FMOD,1.069,0.929,1.231,1.069[0.929:1.231],0.351
6495,LINC01485,0.923,0.835,1.02,0.923[0.835:1.02],0.116
6496,RGPD8,1.078,0.947,1.226,1.078[0.947:1.226],0.256
6497,ACSL6,0.942,0.879,1.009,0.942[0.879:1.009],0.088
6498,CYP2W1,1.065,0.99,1.145,1.065[0.99:1.145],0.089
6499,ALOX12B,1.153,1.032,1.289,1.153[1.032:1.289],0.012
6500,LINC01659,1.013,0.921,1.114,1.013[0.921:1.114],0.789
6501,SMIM10L2A,1.092,0.962,1.238,1.092[0.962:1.238],0.172
6502,ZBTB10,1.055,0.926,1.201,1.055[0.926:1.201],0.422
6503,SYT1,1.11,1.009,1.221,1.11[1.009:1.221],0.032
6504,PGBD5,1.011,0.887,1.152,1.011[0.887:1.152],0.874
6505,ST3GAL1.DT,1.125,0.984,1.287,1.125[0.984:1.287],0.085
6506,LINC02363,1.124,0.958,1.318,1.124[0.958:1.318],0.151
6507,NTSR1,1.059,0.978,1.147,1.059[0.978:1.147],0.16
6508,ADAMTS17,1.101,0.955,1.27,1.101[0.955:1.27],0.186
6509,CYCSP6,1.044,0.96,1.135,1.044[0.96:1.135],0.312
6510,H19,1.073,0.99,1.162,1.073[0.99:1.162],0.086
6511,ASIC2,1.062,0.957,1.179,1.062[0.957:1.179],0.258
6512,GRIN1,1.088,0.97,1.22,1.088[0.97:1.22],0.152
6513,H4C12,1.077,0.942,1.23,1.077[0.942:1.23],0.277
6514,RBMS1P1,1.104,0.966,1.262,1.104[0.966:1.262],0.145
6515,KCNH6,1.003,0.894,1.126,1.003[0.894:1.126],0.956
6516,CIITA,0.981,0.864,1.113,0.981[0.864:1.113],0.765
6517,HAAO,1.001,0.881,1.137,1.001[0.881:1.137],0.991
6518,TM4SF20,1.016,0.935,1.104,1.016[0.935:1.104],0.708
6519,MTCO1P22,0.963,0.821,1.129,0.963[0.821:1.129],0.639
6520,NBPF26,1.164,1.006,1.347,1.164[1.006:1.347],0.041
6521,SNORA26,1.047,0.9,1.217,1.047[0.9:1.217],0.551
6522,SIGLEC14,0.889,0.802,0.985,0.889[0.802:0.985],0.024
6523,PDE4DIPP2,1.101,0.945,1.283,1.101[0.945:1.283],0.218
6524,ZNF345,1.108,0.965,1.271,1.108[0.965:1.271],0.146
6525,WFDC10B,1.182,1.03,1.356,1.182[1.03:1.356],0.017
6526,ADAMTS15,1.027,0.935,1.129,1.027[0.935:1.129],0.576
6527,ORM2,1.012,0.902,1.135,1.012[0.902:1.135],0.842
6528,HMGA2.AS1,1.082,0.964,1.215,1.082[0.964:1.215],0.18
6529,TRBV4.2,0.918,0.799,1.055,0.918[0.799:1.055],0.229
6530,PAPPA,1.04,0.915,1.183,1.04[0.915:1.183],0.544
6531,CRYBG2,0.962,0.834,1.111,0.962[0.834:1.111],0.601
6532,LINC02972,1.192,1.058,1.343,1.192[1.058:1.343],0.004
6533,LRG1,0.929,0.811,1.065,0.929[0.811:1.065],0.291
6534,DEXI,1.072,0.919,1.251,1.072[0.919:1.251],0.376
6535,RN7SL8P,0.992,0.876,1.123,0.992[0.876:1.123],0.899
6536,ISL2,1.146,0.982,1.337,1.146[0.982:1.337],0.083
6537,SNURF,1.065,0.925,1.226,1.065[0.925:1.226],0.381
6538,PCDHGA12,1.111,0.978,1.261,1.111[0.978:1.261],0.106
6539,DSG1,1.016,0.894,1.155,1.016[0.894:1.155],0.808
6540,HOGA1,1.038,0.93,1.159,1.038[0.93:1.159],0.506
6541,PTAFR,1,0.87,1.149,1[0.87:1.149],0.999
6542,ZNF702P,1.015,0.891,1.157,1.015[0.891:1.157],0.819
6543,TRIM22,1.006,0.875,1.157,1.006[0.875:1.157],0.931
6544,PXDNL,1.183,1.015,1.379,1.183[1.015:1.379],0.032
6545,TPPP,1.149,1.019,1.294,1.149[1.019:1.294],0.023
6546,ACTG1P20,0.941,0.824,1.076,0.941[0.824:1.076],0.375
6547,EGF,0.951,0.879,1.028,0.951[0.879:1.028],0.208
6548,PLA2R1,1,0.864,1.158,1[0.864:1.158],0.996
6549,PSORS1C2,1.082,0.973,1.205,1.082[0.973:1.205],0.147
6550,NOG,1.276,1.107,1.471,1.276[1.107:1.471],7.729049e-04
6551,RPL17P6,1.009,0.944,1.079,1.009[0.944:1.079],0.785
6552,LINC02982,0.95,0.83,1.088,0.95[0.83:1.088],0.46
6553,ADAMTS5,1.094,0.942,1.27,1.094[0.942:1.27],0.238
6554,LINC01801,1.111,0.958,1.287,1.111[0.958:1.287],0.163
6555,APOH,0.932,0.833,1.041,0.932[0.833:1.041],0.212
6556,RPL37AP8,0.982,0.893,1.08,0.982[0.893:1.08],0.709
6557,PTK7,1.084,0.946,1.241,1.084[0.946:1.241],0.246
6558,LINC00668,1.055,0.954,1.168,1.055[0.954:1.168],0.296
6559,FAM90A1,1.122,1.002,1.255,1.122[1.002:1.255],0.045
6560,THBS1,1.096,0.945,1.27,1.096[0.945:1.27],0.225
6561,PYGL,1.126,0.982,1.291,1.126[0.982:1.291],0.088
6562,AGA.DT,1.093,0.955,1.25,1.093[0.955:1.25],0.197
6563,DNAJB6P1,1.03,0.937,1.132,1.03[0.937:1.132],0.541
6564,C4B,1.028,0.911,1.161,1.028[0.911:1.161],0.654
6565,KHDC1,1.054,0.937,1.186,1.054[0.937:1.186],0.381
6566,WNT8B,1.182,1.034,1.351,1.182[1.034:1.351],0.015
6567,RPL41P1,1.015,0.966,1.066,1.015[0.966:1.066],0.551
6568,IL34,1.096,0.949,1.266,1.096[0.949:1.266],0.211
6569,RPL36P14,0.953,0.833,1.09,0.953[0.833:1.09],0.478
6570,AQP6,1.118,0.993,1.258,1.118[0.993:1.258],0.065
6571,LINC02154,1.11,0.969,1.27,1.11[0.969:1.27],0.131
6572,PCDHB12,1.183,1.041,1.345,1.183[1.041:1.345],0.01
6573,SPATA18,0.971,0.852,1.106,0.971[0.852:1.106],0.656
6574,MTND5P11,0.992,0.853,1.154,0.992[0.853:1.154],0.921
6575,NFATC2,1.027,0.887,1.189,1.027[0.887:1.189],0.721
6576,SHROOM4,1.005,0.874,1.156,1.005[0.874:1.156],0.939
6577,LINC01484,1.12,0.97,1.293,1.12[0.97:1.293],0.124
6578,PCDHB15,1.169,1.02,1.34,1.169[1.02:1.34],0.025
6579,PCDHA4,1.025,0.945,1.111,1.025[0.945:1.111],0.553
6580,L3MBTL4,1.041,0.946,1.145,1.041[0.946:1.145],0.409
6581,ID4,1.102,0.965,1.258,1.102[0.965:1.258],0.15
6582,MIR3667HG,1.145,0.992,1.321,1.145[0.992:1.321],0.064
6583,RGMB,1.069,0.925,1.237,1.069[0.925:1.237],0.366
6584,MUC1,1.012,0.901,1.136,1.012[0.901:1.136],0.845
6585,FRY,1.001,0.866,1.156,1.001[0.866:1.156],0.991
6586,PCBP3,1.125,0.991,1.278,1.125[0.991:1.278],0.069
6587,B3GAT1,1.103,0.961,1.265,1.103[0.961:1.265],0.162
6588,NSA2P3,1.009,0.879,1.158,1.009[0.879:1.158],0.902
6589,KRT15,1.141,0.973,1.338,1.141[0.973:1.338],0.104
6590,LINC02084,1.097,0.945,1.274,1.097[0.945:1.274],0.224
6591,COLGALT2,1.107,1.017,1.205,1.107[1.017:1.205],0.019
6592,RPL36P12,0.917,0.797,1.055,0.917[0.797:1.055],0.225
6593,FGF18,1.075,0.935,1.235,1.075[0.935:1.235],0.31
6594,CKM,0.992,0.868,1.132,0.992[0.868:1.132],0.9
6595,RHOXF1.AS1,1.023,0.913,1.146,1.023[0.913:1.146],0.693
6596,DPP4,1.051,0.936,1.18,1.051[0.936:1.18],0.402
6597,RPL30P4,0.996,0.872,1.139,0.996[0.872:1.139],0.959
6598,FKBP10,1.142,0.988,1.319,1.142[0.988:1.319],0.072
6599,NEK5,1.029,0.891,1.188,1.029[0.891:1.188],0.7
6600,STAG3,1.211,1.034,1.418,1.211[1.034:1.418],0.017
6601,VTCN1,1.072,0.976,1.177,1.072[0.976:1.177],0.147
6602,CCR3,0.951,0.837,1.08,0.951[0.837:1.08],0.439
6603,NT5E,1.066,0.926,1.227,1.066[0.926:1.227],0.374
6604,RPL17P7,1.003,0.906,1.109,1.003[0.906:1.109],0.958
6605,BMP4,1.03,0.886,1.198,1.03[0.886:1.198],0.698
6606,LRRC37A17P,1.074,0.92,1.252,1.074[0.92:1.252],0.366
6607,POU2F3,1.062,0.931,1.211,1.062[0.931:1.211],0.373
6608,FHOD3,0.969,0.867,1.082,0.969[0.867:1.082],0.574
6609,KLHL30,1.098,0.962,1.253,1.098[0.962:1.253],0.164
6610,H1.4,1.064,0.953,1.187,1.064[0.953:1.187],0.27
6611,POU2AF2,1.035,0.929,1.154,1.035[0.929:1.154],0.532
6612,TANC2,1.039,0.912,1.183,1.039[0.912:1.183],0.565
6613,CGNL1,1.095,0.962,1.247,1.095[0.962:1.247],0.171
6614,KISS1R,1.102,0.984,1.233,1.102[0.984:1.233],0.091
6615,GPC3,1.045,0.941,1.162,1.045[0.941:1.162],0.41
6616,TCEAL9,1.122,0.969,1.298,1.122[0.969:1.298],0.123
6617,HLA.DQB1,1.028,0.911,1.16,1.028[0.911:1.16],0.65
6618,MNDA,1.005,0.893,1.131,1.005[0.893:1.131],0.933
6619,CDIPTOSP,1.039,0.915,1.18,1.039[0.915:1.18],0.552
6620,HHIPL1,1.092,0.947,1.259,1.092[0.947:1.259],0.228
6621,CLMAT3,1.033,0.903,1.182,1.033[0.903:1.182],0.636
6622,CAPN6,1.011,0.943,1.084,1.011[0.943:1.084],0.767
6623,ADAMTS16,1.091,0.984,1.21,1.091[0.984:1.21],0.098
6624,LILRB2,1.009,0.88,1.156,1.009[0.88:1.156],0.898
6625,HOXB2,1.108,0.964,1.274,1.108[0.964:1.274],0.149
6626,H3.3A,1.018,0.91,1.139,1.018[0.91:1.139],0.756
6627,ERFL,1.152,0.997,1.331,1.152[0.997:1.331],0.056
6628,MTCO2P22,0.977,0.87,1.098,0.977[0.87:1.098],0.699
6629,PRELID1P1,1.008,0.874,1.162,1.008[0.874:1.162],0.917
6630,ITPRID2.DT,1.037,0.886,1.213,1.037[0.886:1.213],0.653
6631,LINC02802,1.094,0.957,1.251,1.094[0.957:1.251],0.187
6632,MUC20,1.068,0.926,1.232,1.068[0.926:1.232],0.364
6633,ST6GALNAC2,1.068,0.933,1.223,1.068[0.933:1.223],0.34
6634,CALCA,1.01,0.935,1.09,1.01[0.935:1.09],0.807
6635,LINC01750,1.011,0.881,1.161,1.011[0.881:1.161],0.876
6636,ICA1L,1.038,0.888,1.214,1.038[0.888:1.214],0.638
6637,SIRPA,1.058,0.921,1.215,1.058[0.921:1.215],0.428
6638,MTMR8,0.996,0.866,1.145,0.996[0.866:1.145],0.954
6639,ADGRF1,0.976,0.887,1.073,0.976[0.887:1.073],0.612
6640,SNHG26,1.176,1.031,1.342,1.176[1.031:1.342],0.016
6641,PKMP5,0.975,0.839,1.133,0.975[0.839:1.133],0.74
6642,CASP1,0.901,0.781,1.039,0.901[0.781:1.039],0.15
6643,PARP4P2,1.007,0.867,1.169,1.007[0.867:1.169],0.927
6644,GLRB,1.067,0.935,1.219,1.067[0.935:1.219],0.335
6645,CD40,1.027,0.889,1.187,1.027[0.889:1.187],0.714
6646,TNFSF13B,1.047,0.919,1.193,1.047[0.919:1.193],0.493
6647,LEFTY1,0.979,0.919,1.043,0.979[0.919:1.043],0.517
6648,RAP1GAP,0.981,0.855,1.125,0.981[0.855:1.125],0.78
6649,HS6ST2,1.028,0.949,1.113,1.028[0.949:1.113],0.501
6650,CHD9NB,1.022,0.922,1.132,1.022[0.922:1.132],0.681
6651,LINC02177,1.024,0.901,1.164,1.024[0.901:1.164],0.715
6652,PNRC2P1,0.949,0.872,1.033,0.949[0.872:1.033],0.227
6653,HMGB1P1,1.128,0.976,1.303,1.128[0.976:1.303],0.103
