,Characteristics,Hazard.Ratio,lower.95,upper.95,CI95.,P.Value
3936,WIPF1,1.058,0.904,1.239,1.058[0.904:1.239],0.479
3937,VIPR1.AS1,1.013,0.876,1.171,1.013[0.876:1.171],0.865
3938,DMAC2L,1.053,0.852,1.301,1.053[0.852:1.301],0.635
3939,NNAT,1.144,1.002,1.306,1.144[1.002:1.306],0.047
3940,MIR130AHG,1.093,0.916,1.305,1.093[0.916:1.305],0.325
3941,SMIM31,0.936,0.833,1.053,0.936[0.833:1.053],0.271
3942,HLA.DMB,1.025,0.891,1.179,1.025[0.891:1.179],0.732
3943,VIM,1.079,0.915,1.271,1.079[0.915:1.271],0.365
3944,ZNF483,1.093,0.944,1.266,1.093[0.944:1.266],0.232
3945,BOLA3P3,0.982,0.873,1.106,0.982[0.873:1.106],0.769
3946,CEACAM21,0.97,0.823,1.144,0.97[0.823:1.144],0.721
3947,STK32A,1.025,0.905,1.161,1.025[0.905:1.161],0.7
3948,CCRL2,0.872,0.714,1.065,0.872[0.714:1.065],0.178
3949,RGS6,1.07,0.965,1.187,1.07[0.965:1.187],0.196
3950,CD300LB,1.128,0.975,1.306,1.128[0.975:1.306],0.106
3951,B3GNT5,1.036,0.875,1.227,1.036[0.875:1.227],0.68
3952,LEPROT,1.018,0.821,1.263,1.018[0.821:1.263],0.869
3953,LYSET,1.001,0.82,1.222,1.001[0.82:1.222],0.991
3954,CAP1,0.984,0.79,1.226,0.984[0.79:1.226],0.887
3955,LUCAT1,1.011,0.895,1.143,1.011[0.895:1.143],0.857
3956,SCAMP5,1.04,0.902,1.199,1.04[0.902:1.199],0.588
3957,DDIAS,1.021,0.856,1.218,1.021[0.856:1.218],0.815
3958,GPR182,1.038,0.875,1.23,1.038[0.875:1.23],0.671
3959,OSBPL11,1.075,0.882,1.311,1.075[0.882:1.311],0.473
3960,SAMSN1,0.974,0.857,1.107,0.974[0.857:1.107],0.684
3961,NCKAP5,0.995,0.89,1.113,0.995[0.89:1.113],0.933
3962,MIA2,1.098,0.911,1.324,1.098[0.911:1.324],0.326
3963,TRAV8.2,1.061,0.907,1.242,1.061[0.907:1.242],0.459
3964,MAN2A1.DT,1.058,0.882,1.27,1.058[0.882:1.27],0.544
3965,PCDHB3,0.993,0.866,1.138,0.993[0.866:1.138],0.918
3966,MYO5B,0.975,0.808,1.176,0.975[0.808:1.176],0.791
3967,CUBN,1.126,0.947,1.34,1.126[0.947:1.34],0.18
3968,SLC28A2,0.911,0.842,0.986,0.911[0.842:0.986],0.02
3969,VSIG10,1.133,0.905,1.418,1.133[0.905:1.418],0.276
3970,CSF2,0.947,0.833,1.077,0.947[0.833:1.077],0.408
3971,CDC42BPG,1.171,0.96,1.428,1.171[0.96:1.428],0.119
3972,DECR1,0.972,0.807,1.17,0.972[0.807:1.17],0.762
3973,RARRES1,1.04,0.926,1.168,1.04[0.926:1.168],0.511
3974,RARA.AS1,1.153,0.945,1.408,1.153[0.945:1.408],0.161
3975,LINC01637,1.065,0.876,1.296,1.065[0.876:1.296],0.526
3976,ZNF747,1.13,0.909,1.406,1.13[0.909:1.406],0.271
3977,SLC26A7,1.048,0.93,1.182,1.048[0.93:1.182],0.442
3978,TF,1,0.898,1.113,1[0.898:1.113],0.999
3979,NCK1,1.114,0.894,1.389,1.114[0.894:1.389],0.337
3980,ZFP2,0.939,0.807,1.091,0.939[0.807:1.091],0.411
3981,BOP1,1.127,0.918,1.384,1.127[0.918:1.384],0.253
3982,KCTD2,1.124,0.886,1.425,1.124[0.886:1.425],0.335
3983,ITGA3,1.083,0.892,1.314,1.083[0.892:1.314],0.422
3984,KLF15,1.095,0.966,1.243,1.095[0.966:1.243],0.157
3985,FAM83B,1.103,0.926,1.315,1.103[0.926:1.315],0.272
3986,NNT,1.019,0.826,1.257,1.019[0.826:1.257],0.863
3987,USP38,0.942,0.772,1.149,0.942[0.772:1.149],0.555
3988,MASP2,1.054,0.893,1.244,1.054[0.893:1.244],0.535
3989,GNA15.DT,1.15,0.939,1.409,1.15[0.939:1.409],0.178
3990,MCU,0.968,0.786,1.193,0.968[0.786:1.193],0.762
3991,LINC01996,1.01,0.904,1.127,1.01[0.904:1.127],0.864
3992,LRRC8D.DT,0.966,0.811,1.151,0.966[0.811:1.151],0.698
3993,SIDT1,0.969,0.837,1.121,0.969[0.837:1.121],0.669
3994,NCOR1,1.057,0.872,1.282,1.057[0.872:1.282],0.57
3995,TRBV19,1.035,0.902,1.188,1.035[0.902:1.188],0.624
3996,RALB,1.033,0.821,1.301,1.033[0.821:1.301],0.78
3997,FBXL3,1.012,0.835,1.227,1.012[0.835:1.227],0.9
3998,HSPA1A,1.244,1.096,1.413,1.244[1.096:1.413],7.592182e-04
3999,PARVA,1.107,0.87,1.408,1.107[0.87:1.408],0.409
4000,LINC01357,1.056,0.922,1.209,1.056[0.922:1.209],0.432
4001,TRIM25,0.965,0.778,1.197,0.965[0.778:1.197],0.747
4002,CEBPE,0.97,0.852,1.104,0.97[0.852:1.104],0.644
4003,LIMK2,1.016,0.82,1.259,1.016[0.82:1.259],0.883
4004,ARHGAP31,1.062,0.908,1.242,1.062[0.908:1.242],0.453
4005,CDC42BPA,1.032,0.874,1.218,1.032[0.874:1.218],0.71
4006,KCNF1,1.041,0.928,1.168,1.041[0.928:1.168],0.496
4007,MROH8,0.95,0.772,1.168,0.95[0.772:1.168],0.624
4008,KLKB1,0.957,0.836,1.096,0.957[0.836:1.096],0.525
4009,HIC1,1.119,0.929,1.348,1.119[0.929:1.348],0.236
4010,TBC1D12,0.98,0.799,1.203,0.98[0.799:1.203],0.848
4011,HLA.DPA1,1.04,0.915,1.183,1.04[0.915:1.183],0.547
4012,CYP4F22,0.997,0.844,1.178,0.997[0.844:1.178],0.971
4013,PDCD2L,1.046,0.828,1.322,1.046[0.828:1.322],0.704
4014,TINF2,1.114,0.871,1.426,1.114[0.871:1.426],0.389
4015,STX1A,1.191,0.992,1.43,1.191[0.992:1.43],0.061
4016,FAUP4,1.104,0.94,1.297,1.104[0.94:1.297],0.226
4017,CCNO.DT,1.043,0.88,1.237,1.043[0.88:1.237],0.625
4018,LRRC25,1.048,0.899,1.221,1.048[0.899:1.221],0.551
4019,ZNF624,1.052,0.883,1.253,1.052[0.883:1.253],0.573
4020,MUC12,0.949,0.872,1.032,0.949[0.872:1.032],0.221
4021,TECTA,1.077,0.909,1.276,1.077[0.909:1.276],0.391
4022,MTF1,1.061,0.872,1.29,1.061[0.872:1.29],0.555
4023,RALGAPA1,1.038,0.885,1.217,1.038[0.885:1.217],0.647
4024,TOMM40P4,1.129,0.912,1.397,1.129[0.912:1.397],0.265
4025,DGCR2,1.103,0.874,1.391,1.103[0.874:1.391],0.41
4026,FAM50B,1.088,0.965,1.226,1.088[0.965:1.226],0.168
4027,TSPAN4,1.147,0.942,1.397,1.147[0.942:1.397],0.173
4028,ITPKB,1.175,0.956,1.446,1.175[0.956:1.446],0.126
4029,COBL,1.091,0.916,1.301,1.091[0.916:1.301],0.328
4030,GBF1,1.159,0.923,1.455,1.159[0.923:1.455],0.204
